[36m2025-12-26 01:19:43,623[0m - [32m__main__[0m - ERROR - Failed to register with STUN server. Exiting.
2025-12-26 02:24:13,897 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2025-12-26 02:24:13,899 - __main__ - INFO - ✅ P2P Client started for 'mmd02' at 127.0.0.1:5001
2025-12-26 02:24:52,931 - client.tcp_handler - INFO - 🔗 New connection from ('127.0.0.1', 63490)
2025-12-26 02:24:52,955 - client.tcp_handler - INFO - ✅ Connected to 127.0.0.1:5001
1
2025-12-26 02:25:07,881 - client.tcp_handler - ERROR - Peer 'mmd02' not connected
2025-12-26 02:25:22,756 - client.tcp_handler - ERROR - Peer 'mmd02' not connected
2025-12-26 02:26:34,865 - client.tcp_handler - ERROR - Peer 'mmd02' not connected
2025-12-26 02:26:38,881 - client.tcp_handler - ERROR - Peer 'mmd02' not connected
2025-12-26 02:26:56,751 - client.tcp_handler - ERROR - Peer 'mmd02' not connected
2025-12-26 02:27:15,493 - client.tcp_handler - INFO - 👋 Connection closed with mmd01
2025-12-26 02:30:46,338 - client.network - ERROR - ❌ Registration failed: {'detail': "Peer 'mmd01' already registered"}
2025-12-26 02:30:46,341 - __main__ - ERROR - Failed to register with STUN server. Exiting.
2025-12-26 02:30:53,514 - client.network - INFO - ✅ Registered as 'mmd03' with STUN server
2025-12-26 02:30:53,515 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5000
2025-12-26 02:30:53,516 - __main__ - INFO - ✅ P2P Client started for 'mmd03' at 127.0.0.1:5000
2025-12-26 02:30:59,808 - client.network - INFO - ✅ Registered as 'mmd04' with STUN server
2025-12-26 02:30:59,809 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5001
2025-12-26 02:30:59,810 - __main__ - INFO - ✅ P2P Client started for 'mmd04' at 127.0.0.1:5001
2025-12-26 02:31:08,435 - client.tcp_handler - INFO - 🔗 New connection from ('127.0.0.1', 61993)
2025-12-26 02:31:08,459 - client.tcp_handler - INFO - ✅ Connected to 127.0.0.1:5001
2025-12-26 02:31:08,459 - client.tcp_handler - INFO - 🤝 Handshake complete with mmd03
2025-12-26 02:31:36,328 - client.network - INFO - ✅ Registered as 'mmd05' with STUN server
2025-12-26 02:31:36,330 - client.tcp_handler - INFO - 📡 TCP Server listening on 127.0.0.1:5002
2025-12-26 02:31:36,332 - __main__ - INFO - ✅ P2P Client started for 'mmd05' at 127.0.0.1:5002
2025-12-26 02:31:49,889 - client.tcp_handler - ERROR - Peer 'mmd04' not connected
2025-12-26 02:32:15,431 - client.tcp_handler - ERROR - Peer 'mmd04' not connected
